stock_area_code,stock_area_description,geo_type,geo_code,jurisdiction,constraint,confidence
*C-FRA,Chartering arrangement with Saint Pierre et Miquelon in NAFO 3LNO,FAO,21.3.L,NAFO,,ok
*C-FRA,Chartering arrangement with Saint Pierre et Miquelon in NAFO 3LNO,FAO,21.3.N,NAFO,,ok
*C-FRA,Chartering arrangement with Saint Pierre et Miquelon in NAFO 3LNO,FAO,21.3.O,NAFO,,ok
*02A.,Norwegian waters of IIa (= IIa limited by parent stock to Norwegian waters),FAO,27.2.a,NOR,,ok
*5-14,"part of the NEAFC Regulatory area within area 51214, bounded by coordinates as defined in Reg 683/2011",RFMO,NEAFC,,,ok
*56-14,"United Kingdom waters of 6a south of 58° 30’ N; United 
Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.6.a,GBR,,ok
*56-14,"United Kingdom waters of 6a south of 58° 30’ N; United 
Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.5.b,INT,,ok
*56-14,"United Kingdom waters of 6a south of 58° 30’ N; United 
Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.12,INT,,ok
*56-14,"United Kingdom waters of 6a south of 58° 30’ N; United 
Kingdom and international waters of 5b; international waters of 12 and 14",FAO,27.14,INT,,ok
3AN4-C,"IIIa) Skagerrak, IV (1)",FAO,27.3.a,,,ok
3AN4-C,"IIIa) Skagerrak, IV (1)",FAO,27.4,,,ok
3AN4-C,"IIIa) Skagerrak, IV (1)",FAO,27.1,,,ok
GRL_2024,Greenland Agreement from 2024,EEZ,GRL,GRL,,ok
MDG_2023,Madagascar,EEZ,MDG,MDG,,ok
467H-C,"IV, VIa) North 56°30'N, VIIe),f),h) (1)",FAO,27.7.e,,,ok
467H-C,"IV, VIa) North 56°30'N, VIIe),f),h) (1)",FAO,27.7.f,,,ok
467H-C,"IV, VIa) North 56°30'N, VIIe),f),h) (1)",FAO,27.7.h,,,ok
467H-C,"IV, VIa) North 56°30'N, VIIe),f),h) (1)",FAO,27.6.a,,,ok
467H-C,"IV, VIa) North 56°30'N, VIIe),f),h) (1)",FAO,27.4,,,ok
467H-C,"IV, VIa) North 56°30'N, VIIe),f),h) (1)",FAO,27.1,,,ok
GF1-7,GSA 1-2-5-6-7,GSA,GSA1,,,ok
GF1-7,GSA 1-2-5-6-7,GSA,GSA2,,,ok
GF1-7,GSA 1-2-5-6-7,GSA,GSA5,,,ok
GF1-7,GSA 1-2-5-6-7,GSA,GSA6,,,ok
GF1-7,GSA 1-2-5-6-7,GSA,GSA7,,,ok
N01514,"Greenland zone: NAFO 0,1, ICES V, XIV",FAO,21.0,GRL,,ok
